"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 04 11:15:23 CEST 2023","Tue Jul 04 11:15:35 CEST 2023","11852","","guru.qa.HW15.ApplyJobTest","","guru.qa.HW15.ApplyJobTest","checkValidEmailIsApplied","checkValidEmailIsApplied(String) Check that valid Email elenasharapova@@gmail.com is Applied",""
"skipped","Tue Jul 04 11:15:18 CEST 2023","Tue Jul 04 11:15:18 CEST 2023","0","","guru.qa.HW15.ApplyJobTest","","guru.qa.HW15.ApplyJobTest","checkErrorDisplayedWhenInvalidEmailEntered","checkErrorDisplayedWhenInvalidEmailEntered(String)",""
"passed","Tue Jul 04 11:15:08 CEST 2023","Tue Jul 04 11:15:17 CEST 2023","8896","","guru.qa.HW15.ApplyJobTest","","guru.qa.HW15.ApplyJobTest","checkThatParametersExistsInDescription","Vacancy parameters are exists in Description",""
"passed","Tue Jul 04 11:15:18 CEST 2023","Tue Jul 04 11:15:23 CEST 2023","5724","","guru.qa.HW15.ApplyJobTest","","guru.qa.HW15.ApplyJobTest","checkAddressVacancy","Status of the vacancy",""
"failed","Tue Jul 04 11:15:35 CEST 2023","Tue Jul 04 11:15:48 CEST 2023","13244","","guru.qa.HW15.ApplyJobTest","","guru.qa.HW15.ApplyJobTest","checkValidEmailIsApplied","checkValidEmailIsApplied(String) Check that valid Email elenasharapova3@ is Applied",""
